                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0969,                0.74248,                 1.0186,                0.95148,                0.88406,                 0.9271,                0.55222,                 1.4408,                0.92279,                 1.3438,                 0.0991,                 0.0001,                 0.0001
                      1,                  1.054,                0.71527,                 1.0326,                0.94853,                0.88406,                0.93175,                0.54639,                 1.4458,                0.92318,                 1.3435,               0.097299,             0.00029851,             0.00029851
                      2,                 1.0543,                0.74671,                0.97858,                0.95436,                0.90919,                0.93961,                 0.5478,                 1.4481,                0.92194,                 1.3469,               0.095495,             0.00049505,             0.00049505
                      3,                 1.1448,                 0.8821,                 1.0543,                0.95446,                0.91122,                0.94029,                0.55045,                 1.4457,                0.91337,                 1.3515,                0.09369,              0.0006896,              0.0006896
                      4,                0.95759,                0.70072,                 1.0119,                0.94568,                0.91304,                0.94057,                0.55077,                 1.4438,                0.90746,                 1.3506,               0.091882,             0.00088218,             0.00088218
                      5,                0.98326,                0.75164,                 1.0632,                0.94866,                0.91304,                0.93971,                0.55342,                 1.4082,                0.90811,                 1.3453,               0.090073,              0.0010728,              0.0010728
                      6,                 1.0817,                0.77887,                 1.0626,                0.94083,                0.92183,                0.93761,                0.55792,                 1.3973,                0.91875,                 1.3486,               0.088261,              0.0012614,              0.0012614
                      7,                 1.0696,                0.70349,                 1.0534,                0.94116,                0.92727,                0.93982,                0.55421,                 1.4365,                 0.9376,                 1.3766,               0.086448,               0.001448,               0.001448
                      8,                 1.0205,                0.70695,                 1.0187,                0.92866,                0.91304,                0.93733,                0.54028,                 1.4566,                0.93545,                 1.3737,               0.084633,              0.0016327,              0.0016327
                      9,                 1.0947,                0.75238,                 1.0231,                 0.9493,                0.91304,                0.94094,                0.53267,                 1.4567,                0.94505,                   1.36,               0.082815,              0.0018154,              0.0018154
                     10,                 1.0614,                0.71429,                 1.0035,                0.91291,                0.92754,                0.94077,                0.53238,                 1.4931,                0.96605,                 1.3605,               0.080996,               0.001996,               0.001996
                     11,                 1.0778,                0.70107,                 1.0149,                0.90119,                0.92529,                 0.9352,                0.52593,                 1.4644,                0.96676,                 1.3381,               0.079175,              0.0021748,              0.0021748
                     12,                 1.0095,                0.68887,                0.98927,                0.91852,                0.91304,                0.93396,                0.53403,                 1.4531,                0.96873,                 1.3393,               0.077352,              0.0023515,              0.0023515
                     13,                 1.0349,                0.76527,                 1.0237,                0.93909,                0.89383,                0.93731,                 0.5438,                 1.4255,                0.98185,                 1.3302,               0.075526,              0.0025263,              0.0025263
                     14,                 1.1297,                0.70761,                0.99392,                0.93909,                0.89377,                0.94055,                0.54529,                  1.422,                0.98439,                 1.3293,               0.073699,               0.002699,               0.002699
                     15,                 1.0003,                0.73103,                0.98801,                0.91132,                0.89362,                0.93545,                0.52162,                 1.4976,                0.98721,                 1.3526,                0.07187,              0.0028698,              0.0028698
                     16,                 1.2587,                0.83853,                 1.0654,                0.92015,                0.88406,                0.92916,                0.51534,                 1.4768,                0.98612,                 1.3538,               0.070039,              0.0030386,              0.0030386
                     17,                 1.1618,                0.76687,                 1.0749,                0.95354,                0.89232,                0.92208,                  0.511,                 1.4699,                0.98894,                 1.3607,               0.068205,              0.0032055,              0.0032055
