                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5521,                 1.1995,                 1.3969,                      1,                0.33609,                0.87828,                0.46293,                 1.3208,                 2.2547,                 1.5136,               0.036739,              0.0057387,              0.0057387
                     35,                 1.3739,                 1.2595,                  1.375,                      1,                0.35789,                0.87482,                0.36704,                 1.5054,                 2.3337,                 1.6199,                0.03487,              0.0058699,              0.0058699
                     36,                 1.6135,                 1.2124,                 1.4683,                      1,                0.35789,                0.87482,                0.36704,                 1.5054,                 2.3337,                 1.6199,               0.032999,              0.0059991,              0.0059991
                     37,                 1.6399,                 1.1821,                 1.3785,                      1,                0.40301,                0.88139,                0.41583,                 1.4602,                 2.3009,                 1.5896,               0.031126,              0.0061264,              0.0061264
                     38,                  1.665,                 1.1825,                 1.4102,                0.97442,                0.55213,                0.86367,                0.45072,                  1.424,                 2.1255,                 1.5395,               0.029252,              0.0062516,              0.0062516
                     39,                 1.5157,                 1.0996,                 1.3579,                0.97442,                0.55213,                0.86367,                0.45072,                  1.424,                 2.1255,                 1.5395,               0.027375,              0.0063749,              0.0063749
                     40,                 1.5163,                 1.1568,                 1.3878,                 0.9271,                0.73726,                0.88401,                0.47689,                 1.4825,                 1.9444,                 1.6589,               0.025496,              0.0064962,              0.0064962
                     41,                 1.5355,                 1.1432,                 1.3202,                0.94245,                0.71203,                0.90367,                0.47685,                 1.3979,                 1.8758,                 1.5206,               0.023616,              0.0066155,              0.0066155
                     42,                 1.5879,                 1.1631,                 1.4134,                0.94245,                0.71203,                0.90367,                0.47685,                 1.3979,                 1.8758,                 1.5206,               0.021733,              0.0067329,              0.0067329
                     43,                 1.6913,                 1.1627,                 1.3153,                0.85382,                0.67725,                0.84105,                0.40903,                 1.5392,                 1.8215,                 1.5449,               0.019848,              0.0068482,              0.0068482
                     44,                 1.7039,                 1.2667,                 1.4602,                0.85382,                0.67725,                0.84105,                0.40903,                 1.5392,                 1.8215,                 1.5449,               0.017962,              0.0069616,              0.0069616
                     45,                 1.7122,                 1.3506,                 1.3824,                0.89601,                0.74929,                0.90299,                0.45817,                 1.4727,                 1.7045,                 1.5632,               0.016073,               0.007073,               0.007073
                     46,                 1.4422,                 1.0704,                  1.272,                0.89601,                0.74929,                0.90299,                0.45817,                 1.4727,                 1.7045,                 1.5632,               0.014182,              0.0071824,              0.0071824
                     47,                 1.6357,                 1.4834,                 1.5033,                  0.866,                0.81159,                 0.8625,                0.44928,                 1.4518,                 1.7242,                 1.4884,                0.01229,              0.0072898,              0.0072898
                     48,                 1.6056,                 1.1343,                 1.3014,                  0.866,                0.81159,                 0.8625,                0.44928,                 1.4518,                 1.7242,                 1.4884,               0.010395,              0.0073953,              0.0073953
